region,ASTRO,CHANDELIER,ENDO,L2_3_IT,L4_IT,L5_ET,L5_IT,L5_6_NP,L6_CT,L6_IT,L6_IT_CAR3,L6B,LAMP5,LAMP5_LHX6,MICRO_PVM,OPC,OLIGO,PAX6,PVALB,SNCG,SST,SST_CHODL,VLMC,VIP
7Networks_RH_DorsAttn_Post_15,0.0001,0.0001,0.0001,0.0001,0.1620188326054263,0.0001,0.5470182966547645,0.0001,0.0161960184206813,0.0001,0.0201477389066894,0.0001,0.0001,0.0300872335782566,0.0088642811008133,0.081600441906798,0.0001,0.0001,0.092559617151001,0.0272557883445936,0.0047008436039986,0.0085439389745816,0.0010069687523953,0.0001
7Networks_RH_DorsAttn_Post_18,0.1934431194863151,0.0001,0.0001,0.4343329774057937,0.0587159009433227,0.0001,0.1102825340441588,0.0229456638711177,0.0001,0.0148741651620007,0.0001,0.0252244014824586,0.0001,0.0123940958418965,0.0443246470221784,0.0001,0.0296332037882129,0.0001,0.0025977914901478,0.0482682548041388,0.0001,0.0029632446582576,0.0001,0.0001
7Networks_RH_DorsAttn_Post_19,0.0001,0.0001,0.0001,0.0001,0.2336619047172079,0.0978711519924582,0.2792063078335588,0.039471438334567,0.0001,0.0001,0.0106476537671919,0.0001,0.0001,0.0193885370547996,0.0095640781104608,0.142300626154344,0.0001,0.0762085780157251,0.0753633493048488,0.0001,0.0001,0.0131123362682745,0.0032040384465626,0.0001
7Networks_RH_DorsAttn_FEF_1,0.0035021503251497,0.0001,0.0266909667826003,0.1087512369683326,0.0820151118144558,0.163539489142851,0.0001,0.0322811726049727,0.1026238471160003,0.0307062221146218,0.0039213897420795,0.000662298409177655,0.0376176253180525,0.0418599662766719,0.0225024643151622,0.0571598745616282,0.0001,0.0522186049139577,0.0769668751074908,0.0001,0.0001,0.0043414307613604,0.0083051906492672,0.1443340830761668
7Networks_RH_DorsAttn_FEF_2,0.0158143230495997,0.0351797682339674,0.0163407526317407,0.292884416463425,0.0001,0.0001,0.1344243973863701,0.0125920850822489,0.0267069272960977,0.0415204631317355,0.0018543634349923,0.0073227641884951,0.055985553142826,0.0253524213005619,0.00055861301460896,0.0146038239678981,0.0001,0.0072282996159503,0.0001,0.0250809935159155,0.0359409219173956,0.0129654718543849,0.0152010499014853,0.2224425908703001
7Networks_RH_SalVentAttn_TempOccPar_1,0.0001,0.0028005424150536,0.0079229849287693,0.1141447363711907,0.1093394106653017,0.0758485546046364,0.2771456999561345,0.0458906041635523,0.1084728667824648,0.0001,0.0001,0.0153308417025339,0.1190057510882484,0.0001,0.013477758360287,0.0049415145208292,0.0001,0.0001,0.0170462873822555,0.0001,0.044424396552263,0.0001,0.0001,0.0442080505064789
7Networks_RH_SalVentAttn_TempOccPar_2,0.1230543043692189,0.0525543465264729,0.0254145387190835,0.0873147205967257,0.0001,0.0332112788591425,0.0001,0.0001,0.0001,0.293059410048463,0.0001,0.062328576873058,0.0021289746827406,0.0001,0.00375369376109,0.0107582583290289,0.012283111726242,0.0548947224508565,0.0001,0.0001,0.0001,0.0001736147862264,0.0053470569769979,0.2337233912946526
7Networks_RH_SalVentAttn_TempOccPar_3,0.0001,0.0001,0.0211197435106936,0.0338294714057614,0.1984200284943454,0.0703261215512328,0.2595652478557334,0.076931460488579,0.0001,0.0264879597129652,0.0001,0.0052488967606732,0.1633674131751413,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0499322613075475,0.0587257940326615,0.0001,0.0159277082422324,0.0201178934624325
7Networks_RH_SalVentAttn_TempOccPar_4,0.0159217707690568,0.1265270720584578,0.0177173278812989,0.1104412422268377,0.0001,0.0001,0.0582335875741031,0.023865971309946,0.0001,0.1439198977043971,0.0001,0.1283952272570254,0.0327562595213135,0.0165974341765639,0.0067264291361783,0.0608184105695851,0.0071396463927686,0.1108506849056318,0.0001,0.0001,0.0882234030167612,0.0155318679955188,0.0110792357865223,0.0252545317180331
7Networks_RH_SalVentAttn_TempOccPar_6,0.0087341554959421,0.0472154975804935,0.0068869027873307,0.2436750972113661,0.0001,0.0001,0.2055649203156783,0.0414867885389248,0.0001,0.1254049816513814,0.0001,0.0408123451745574,0.0086296348436043,0.0319828868555867,0.0372316423555636,0.0001,0.0513222199462114,0.0221532638540372,0.0193529159261962,0.0353504403836115,0.0493848613980483,0.009171816334244,0.0001,0.0156396293472218
7Networks_RH_SalVentAttn_TempOccPar_7,0.0811129861013668,0.0001,0.0001,0.1895020632372909,0.0001,0.2285324139469772,0.0001,0.0001,0.1345246988655491,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2390563837704789,0.0508595880327062,0.0021046417760229,0.0001,0.0536339439384588,0.0001,0.0032733063309087,0.0173999740002403,0.0001
7Networks_RH_SalVentAttn_PrC_1,0.0001,0.0001,0.0009962521639332,0.0001,0.0971321383964953,0.3734619435780435,0.0819021170321354,0.102172233816747,0.157304303829648,0.0001,0.0656053751635639,0.0001,0.0001,0.0523876450210306,0.0324904475285014,0.0020764727034843,0.0001,0.0001,0.0001,0.0001,0.0001,0.0175422840623775,0.0001,0.0169287867040393
7Networks_RH_SalVentAttn_FrOperIns_1,0.0540313352493029,0.045979043734956,0.0001,0.2041705259321659,0.0001,0.0620975215006841,0.0098586938284832,0.0146756291751253,0.1910125547156984,0.0321285195489482,0.0558640626549852,0.0001,0.0001,0.0562158935144845,0.0373152546365327,0.0609801311534409,0.0351671428436683,0.04802158731574,0.0001,0.0399533276144961,0.0300757570933277,0.0198953728904591,0.0025576465975005,0.0001
7Networks_RH_SalVentAttn_FrOperIns_2,0.004940750228965,0.1106148151136893,0.0120704427837458,0.1672482778529165,0.0001,0.0001,0.0001,0.0968283554294862,0.0001,0.0583818893408315,0.0054032061013245,0.1488772384070169,0.0001,0.0001,0.0444190895261838,0.0001,0.0433860216658226,0.0457106309045353,0.0001,0.0001,0.1060001552841654,0.0082197506459818,0.0001,0.1478993767153348
7Networks_RH_SalVentAttn_FrOperIns_3,0.0001,0.0528372207474278,0.0068952766221689,0.0967324687415333,0.1329985107795321,0.0001,0.0314507056080451,0.019272478662323,0.0431912465771887,0.0090901473102275,0.069464311534864,0.0649490597064277,0.0001,0.081403654933243,0.0454433118002423,0.0530703277650935,0.06309423703025,0.0358395411790892,0.0001,0.0161870054027548,0.0645824167849263,0.0043969895666073,0.0001,0.1091010892480547
7Networks_RH_SalVentAttn_FrOperIns_4,0.0498505716601709,0.0452948111353249,0.0017132113251572,0.0988223728884023,0.0001,0.0001,0.0001,0.0136525362718501,0.0386884818697905,0.0103490905665313,0.0907610893511294,0.1284914275145101,0.0137730575349448,0.0706712223587098,0.069837706181822,0.0001,0.0619828242655398,0.007200505259662,0.0010262237938196,0.0832021694922532,0.0541410413503139,0.0229931744771203,0.0039346628249831,0.1336138198779638
7Networks_RH_SalVentAttn_FrOperIns_5,0.0659789166267935,0.066496963512952,0.0056743629775686,0.0590561568808173,0.0001,0.0747560806626013,0.0334733546688081,0.0076455719019046,0.0144642446272146,0.1347336965905377,0.0191816193170073,0.0679174432593993,0.0001,0.0071965511473847,0.0266561655875508,0.0760648234310335,0.0096041434193577,0.035838371856011,0.0266776633638881,0.0279244075912069,0.0329556049116789,0.0099556400618007,0.0011812590408873,0.1965669585635951
7Networks_RH_SalVentAttn_FrOperIns_6,0.0019036088706168,0.0510675956515681,0.0098725705842463,0.3724556888867287,0.0498947568448671,0.0001,0.0001,0.0229193289425686,0.0001,0.0001,0.0001,0.0113055368115671,0.0001,0.1342233542272756,0.0339460783396437,0.0001,0.0348855924385191,0.0001,0.0001,0.0459671897367092,0.0984864772585792,0.0029629585668899,0.0001,0.1301092628402203
7Networks_RH_SalVentAttn_FrOperIns_7,0.0204912579118399,0.0069157746566186,0.0222812668066644,0.1950291761245393,0.0001,0.0001,0.0077755345748765,0.0250181713839092,0.0001,0.1278017905405728,0.0001,0.1685725625752079,0.0001,0.0001,0.0224576253503595,0.0048804778784055,0.0146692438140651,0.0717049782225724,0.0001,0.0608597594097305,0.0291404273359568,0.0132134853834464,0.0001,0.2091884680312342
7Networks_RH_SalVentAttn_FrOperIns_8,0.0001,0.1360658234207353,0.0165054271319433,0.0840207942281962,0.0001,0.0001,0.0001,0.0949994176781319,0.0128343897155025,0.2324025870051284,0.0283749316533639,0.0720082675941658,0.0001,0.1327856627126965,0.0001,0.0001,0.0380711036782348,0.0001,0.0001,0.0311451710288044,0.0241435205911187,0.0001,0.0045600252343044,0.0920828783276734
7Networks_RH_SalVentAttn_PFCl_1,0.0675670330313272,0.0041983319436993,0.0089804813196269,0.3747123457713216,0.0001,0.0001,0.1252303898702215,0.0308524212482122,0.0001,0.0594649583150996,0.0023560223303285,0.0212539253834575,0.0455110320140275,0.0001,0.0060138271941089,0.0001,0.0059452406290244,0.0298223134076782,0.0001,0.0741110457118011,0.0477900040968636,0.0014697012001304,0.0033305601531607,0.0913903663799102
7Networks_RH_SalVentAttn_Med_1,0.1083425317409534,0.0001,0.0062145014939025,0.0001,0.0001,0.0001,0.0001,0.0458781942082043,0.1889328215276748,0.068075094022789,0.0289450017275078,0.0001,0.0158563734618717,0.050621070237201,0.0001,0.0371353949230429,0.1182635524390355,0.179245502596364,0.0001,0.0001,0.0130610863893021,0.0050248695279391,0.0001,0.134404005704211
7Networks_RH_SalVentAttn_Med_2,0.0879005239027617,0.092489070219017,0.0040323062860952,0.0046408152616492,0.0001,0.1699294631663223,0.0028664231545905,0.0181186176307228,0.0540317683210677,0.1483607653175789,0.0073565597446423,0.0313879926196063,0.0461073442336067,0.0167772265248472,0.0058672902902987,0.0112602784707034,0.0454040286356665,0.0354049923067263,0.0001,0.0545926545175347,0.0751802142325924,0.0072553500734976,0.0001,0.0810363150904719
7Networks_RH_SalVentAttn_Med_3,0.0001,0.0206500109903204,0.0110438077767308,0.0582301974726801,0.0346410696141025,0.0862656042164496,0.0574765806621524,0.0250980475887465,0.0075850047150553,0.1289830960909768,0.0001,0.026927357871631,0.0125322012030991,0.0107811786597656,0.0252532076042466,0.1195752151790646,0.0045508787041758,0.0551401078314797,0.0627366232497872,0.0274240528957593,0.0001,0.0070629017988653,0.0092009637192477,0.2088418921556625
7Networks_RH_SalVentAttn_Med_6,0.1567965242125663,0.0832368756726043,0.0243524206318046,0.0075830826085218,0.0001,0.2196719659690931,0.0001,0.0001,0.0061182552487318,0.2959416807991649,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0208505458394718,0.0001,0.0001,0.0001,0.0087122447120849,0.0046905881688037,0.1720458161371523
7Networks_RH_Limbic_OFC_1,0.0548177641250414,0.0429837302087495,0.0013964891659499,0.1634329587492896,0.0001,0.0109690743503334,0.0975962135282707,0.0083283336856633,0.0212284440056345,0.096975283918826,0.0043011423286154,0.0742870457686608,0.006216217547089,0.023361571175151,0.0270664350742297,0.0961400265942745,0.0268034347072425,0.0538819224257498,0.0036684577996874,0.0564464299356151,0.037314845995272,0.0181581859038567,0.0030678132509878,0.0715581797558088
7Networks_RH_Limbic_OFC_2,0.0185837438742079,0.0201470888472012,0.0001,0.0001,0.0001,0.0380604712131677,0.2619105008324567,0.054721366134963,0.0223013541693928,0.1181139496401811,0.0272869563373906,0.1506696675568796,0.0001,0.0529932890781982,0.0107990752763303,0.0655989327955152,0.0214550624632151,0.0491101104045885,0.0001,0.0192563625860618,0.0083685519013248,0.0391803283429133,0.0078760591569939,0.0135671293890175
7Networks_RH_Limbic_OFC_3,0.0268252739064462,0.0116739080878639,0.0027396952982401,0.2545311387301551,0.0434807936928805,0.00830907075602,0.1476324575334947,0.0242231884653664,0.0055857893793599,0.0196740446180763,0.0035546693671375,0.0626119191010622,0.0077890269970406,0.043453721368367,0.0233087638113421,0.029435146798119,0.024366593822387,0.0500963296072233,0.0275285249318711,0.0508477807441155,0.0614192765462311,0.0079377235485776,0.0024158384358891,0.0605593244527328
7Networks_RH_Limbic_OFC_5,0.0001,0.0454591346611577,0.0001,0.0001,0.0001,0.0001,0.3233920295671637,0.0001,0.0383465921344649,0.0001,0.0646126789527593,0.1943590227215428,0.0001,0.0837579308108005,0.0194458742760209,0.0001,0.0001,0.039948766649928,0.0001,0.102196699353133,0.044953934978228,0.0435273358948009,0.0001,0.0001
7Networks_RH_Limbic_OFC_6,0.0742339892307882,0.0135342897855946,0.0015144916023687,0.324979988276406,0.0045458059446641,0.0001,0.0693125835472526,0.0001,0.0708568035254464,0.0001,0.0258744327013887,0.0776653883505292,0.0240344014825761,0.0276743478583015,0.0071597504235517,0.0613374911005616,0.0297421209366631,0.0211655035726191,0.0111357465628883,0.0431675775551553,0.0527780386550115,0.0113378992124048,0.0073069267276589,0.0406424229481688
7Networks_RH_Limbic_TempPole_1,0.0368526741586324,0.1041507996021606,0.00129621695164,0.12759338585194,0.0001,0.0025133589647555,0.0461451127471973,0.0437785009056655,0.0236783212488769,0.140569072439501,0.0152601810733474,0.0476154949229241,0.0001,0.0352792058596995,0.0598341716956278,0.0167345375498432,0.0604532316520524,0.0232741402899977,0.0001,0.037939968071718,0.0436903153428856,0.0121267207444653,0.0072790939966465,0.1139354959304222
7Networks_RH_Limbic_TempPole_2,0.0692861208880997,0.0289240439055372,0.0012426447984288,0.1312586599796608,0.0332726039555917,0.0018423339331577,0.092909695668623,0.0249241090909968,0.0294481711122364,0.0810649782979096,0.0357760826807592,0.0356792636078566,0.0158903296515859,0.0379772645356554,0.0402756339170407,0.0579196364333925,0.0773327328385131,0.0275544757321433,0.0062199838927879,0.031523215990515,0.0553040708211458,0.0095387999413491,0.0061098677323873,0.0687252805946254
7Networks_RH_Limbic_TempPole_3,0.0001,0.0644998772910573,0.0001,0.0001,0.0001,0.0001,0.0001,0.1126372617958023,0.0278981757730268,0.2339587804523384,0.1683187366200824,0.1095173424936292,0.0001,0.0001,0.0531254670933662,0.0001,0.0251709664730633,0.0114049481143956,0.0001,0.1611107266871655,0.0054805720484831,0.0268771451575892,0.0001,0.0001
7Networks_RH_Limbic_TempPole_4,0.036288991100358,0.0312764769610955,0.0001,0.0823098967709518,0.0132418001433008,0.04275553194018,0.0791753285460305,0.0389478170843932,0.0076894187176757,0.2609647081454257,0.0431678182238499,0.0436683129633441,0.0193617155743183,0.03361683126328,0.0249112307139146,0.0632449228711673,0.0519425501278251,0.0144166383839004,0.0001,0.0578120919741487,0.0323146208087988,0.0098985591041011,0.0034502140064216,0.009544524575518
