D99,ASC,EC,MG,OLG,OPC,VLMC,L2,L2_3,L2_3_4,L3_4,L3_4_5,L4,L4_5,L4_5_6,L5_6,L6,LAMP5,PVALB,PV_CHC,RELN,SST,VIP,VIP_RELN
23,6140.981349690543,5.205351100931758,121.4956030793694,4933.272898563592,753.9644405216653,632.1801044301038,5702.19246454803,12868.15265205295,3954.4667147661166,9465.951611975555,478.8247429231005,9731.788850179895,13341.331598693874,7327.250192192384,5597.212810412354,5370.292409171312,906.22037585418,3299.1414500597257,183.9762984599078,1863.917325211383,4948.875877163856,1250.16734170235,1300.537420755148
24,6356.457695898273,16.16152778163021,256.85597290696626,5432.988823590787,1004.6944405889385,641.3480691172251,6415.169686063522,11484.64445357258,5005.484422783588,8777.826765274924,362.9773169935766,10703.601940469389,10788.303373548995,8219.268623894946,5286.850880530736,5929.923441037434,871.600468157825,3315.839596227172,184.4195884615927,1802.8621216883364,4989.477461214609,1169.7231686433277,1114.474968174109
25,7503.859253222188,71.76175765061112,521.7369721391068,7540.98754165136,1130.3010107617033,1254.653853665355,7416.51467086208,12398.20928750991,3781.830980964728,12928.168886220688,996.4721063523325,6840.175326173789,8835.949465696795,5999.612051948039,4555.177457063722,4009.6694211351637,928.741820932171,4279.489395294063,179.4017265059969,2108.0443732771078,4348.908967915736,1128.319630390754,1711.9280956559016
27,6368.783553478816,82.12351546704141,321.9971902048554,5038.406565037448,900.970620188133,680.8651031999235,5706.401961167705,11825.5381906453,5117.786986392931,8441.467317221086,402.8348142526983,7241.785894184886,14190.783025098372,7094.0920855429695,6637.364517413753,6541.774381881073,987.2034939426156,3114.801881019749,197.5424693400736,2048.293027917565,4924.570869172649,1063.6245667327337,1374.2319589915671
28,10271.78997681973,44.40625710500114,1225.4901960784314,5711.127207258614,2048.973675661875,3306.6796015325044,12917.297204448712,5684.697916798044,6746.835224421171,5930.094394467277,315.88245633829445,6880.14258633006,8021.862830599503,7701.940359122052,3627.049819458406,6646.676367816045,1521.1828738240424,4142.575528754113,200.17710449210483,2706.26457430668,4695.80514625636,1514.1985973442393,996.03824994583
29,5740.74787095515,53.44285339491677,264.0624385819643,5742.099550261142,1057.5251397735872,1072.2368630371254,4999.195323741358,12474.413537212526,3410.5515551394633,10458.829337734824,395.4933032325312,10238.76419109423,12420.467597294572,7065.062666140158,5549.495892476904,5597.547586414628,935.1203625907472,3505.4705613007254,273.97160363517577,1848.5808608784585,4760.346597465732,1143.5934501140046,1188.3337606920036
30,5029.419707011434,4.076906769296,311.7732558689502,10952.974219918622,811.3913872621857,121.57418276168232,4796.996260757556,10174.055305547916,3233.987342301692,11427.502317090237,1532.6621268415977,10074.464552326275,10510.321735353724,8384.06153323789,6067.244611055339,4590.138218956641,989.866101205458,3731.813722673101,135.14185903414648,1319.8320136475902,3994.1263864448506,944.8097697959911,1101.3738659833682
31,5752.70374535298,4.164201168133932,203.37298033117125,7408.820548331263,723.1812671793539,428.99720121130383,6386.1143211226445,12779.70289058357,4082.3621108007974,10785.799046451968,1218.4948886615334,10379.012604122749,10186.16059686795,7647.8972444080255,4942.654288340968,4197.84883296289,885.869060606113,3591.124560858875,132.7264796996543,1807.9684671220973,4268.222002501834,1089.4749992380875,1273.1921591132398
32,6302.9432537321645,35.472711066173886,273.95931751557896,11981.2678451362,1056.562080164285,125.53900180419257,3980.6645826464155,10497.244098557998,2441.242812347284,12436.870600624276,1242.5534200821216,8048.649417078679,10407.477162736976,6935.293407783724,5767.993316953677,6358.4001253661845,1082.9865609473657,3803.657986060647,216.9476050268566,1482.2800069074558,3939.169756545904,977.749080190542,1049.5720678634011
34,3091.0954250220702,6.524597801548882,40.25891495131965,5448.926959079579,474.6522647844257,344.52513239060414,5490.325452034036,12484.122622911404,4284.475796062595,11356.291038601885,429.05073524739663,17710.49597930583,9136.068722696671,8797.636607471348,4369.965312978163,5808.520232522989,741.8770287795113,3551.1507088360404,72.54863205432429,940.8619304505008,3822.201689428299,973.423079515796,703.3554011851184
35,5983.397935764063,5.893793835091649,307.94552043183774,6476.992754549586,1356.582567328471,129.62701221010988,7333.779469607089,14571.888938427957,3823.608905046524,10386.483473792712,359.43810471337605,11274.910405012368,8574.688651930628,5881.959119983572,4495.798226993924,5575.705760981946,848.4563545715536,3717.734121534612,181.1820859120591,1970.8231063755427,5013.983413828907,1188.6458951902653,967.7119456015432
37,5079.699805567967,9.67567326443855,401.578220186413,6454.690271830335,764.99705730857,887.5896005716512,4324.669825867814,12272.525802095844,3563.2254763928213,11753.892731157575,649.0307345675016,9834.749786597027,11863.68273754388,7886.596332868113,5753.781608313888,5539.327740396002,870.5212656146717,3862.2959370393055,230.42439921069405,1515.588589303354,4822.021467082235,1147.0131572204552,901.5274804013283
38,6028.398185362027,16.65297842303864,348.34883352831065,6466.310618790586,826.683675770247,653.7005136586322,6783.707441883597,12509.549411007358,4384.2142753000335,9572.787256982425,978.9349419812879,8899.896754918607,11043.41487584653,7762.696233609359,5624.10476238714,4742.610746783539,905.6044524705349,3464.8904359088165,143.80461008403842,1757.890180504026,4848.65986952426,1103.7032698650855,1336.0006102717784
39,4906.599625984536,3.985398439186338,253.9380552375732,6637.691200717551,590.0048580452043,500.45067432589695,6915.480516526835,13673.379659347771,3977.3806667047247,10973.838665531648,804.2274534995463,11783.49297981292,10562.83156377551,7074.5212475614335,4474.966510308421,4330.640046030079,869.2323813122264,3580.9825058254255,125.48457003359854,1548.5938749227096,4302.377008616048,1112.185989001,1278.627712280795
41,5219.891803839331,27.039208354874468,337.92709676462573,6761.557703048792,875.7524042418121,445.0340854962682,4429.507215265934,14712.089323199583,3148.365352077125,12053.752616354712,518.2007519332436,11179.166893541616,11519.337569186106,6746.966433440173,4532.252826760748,4886.154774560865,937.3683676709426,3446.9995861790603,265.55680537522755,1674.7013852094296,4279.866305017323,1157.026471424565,1132.2770522089652
43,6074.821517296789,6.984378533663822,161.83736729953583,8303.051738834463,743.7594712572001,1162.2101309967495,6514.924336150964,12506.89659959374,3591.2837006361137,10477.515821936217,1381.1848344854966,8747.211649670862,10428.262652135072,7069.386706131139,4523.915768495455,4317.222343538037,1005.8263354280315,3780.682403225241,128.80110435574224,1785.7829720390791,4755.527468580319,1276.3204571082654,1397.1755045914012
44,4136.428195999579,29.2014255107296,184.88054930408583,5357.10953136054,749.7410752882993,626.9767705221118,6773.294304284242,15052.321017073778,3571.5339861834564,10857.002181681702,390.2523089866056,12611.692447111538,12340.0930276231,5459.704685016201,4816.9285284359885,4388.702580607428,832.8835035284044,3343.7889505458297,170.5740377133653,1512.172380201779,4622.968960303663,1332.9563970464856,1046.9538202437109
45,5764.748873801095,46.50375653323459,528.5624801413121,3696.64815639603,1158.1380020012564,751.8251406664644,8080.973283265869,9812.367529888988,4542.233979995594,9073.98084137377,244.52233831852567,10444.591453471146,10727.594316504146,8642.081687582362,5518.533530686724,6755.264525880121,1017.3552707153826,3189.453273937685,270.94066267669547,2477.029051527291,5043.544526713101,1588.0000821396386,1081.5037213966934
46,5787.222564899177,18.719910867708226,196.39776867255628,5147.219694598456,785.3158142272227,1266.0194410933914,6019.6192632619395,13546.677673326083,4155.924121327827,11297.273390018903,602.3758653340401,9545.237997387228,11788.768741031656,6716.81137502262,4674.095895784174,4682.579897078777,776.103352316082,3746.935053691004,173.02353481435287,1742.5837529630887,5023.196693507748,1222.131322373738,1233.1089120435383
47,5836.443975589528,38.76682989060056,213.0501051298796,4981.318882419572,1076.179163038256,1030.6510342714214,5596.84266360722,13005.974393271006,3958.107506550499,10268.401739960622,368.7985635268582,9925.129167854742,11503.827337378098,7350.168745780625,5189.476855711962,5764.6506760888815,913.0876827998876,3576.649706878777,264.6805515742224,2021.3420070798104,4722.881467368154,1394.0668882593686,1211.125391270664
49,6390.243411614067,76.8565513348996,414.7112219808452,3247.250937692578,1075.437998085581,1192.7088844295392,9652.122640820806,7094.23372468282,4992.2158774587515,6440.574571836876,240.85729929043293,7789.008970254555,10984.157257580948,9834.036414008118,8237.912791275749,7558.231098375279,993.2114714637958,3481.3633458241407,205.50006572007382,2730.123298171584,5502.390592546896,1594.848762316519,1162.329119853256
