D99,ASC,EC,MG,OLG,OPC,VLMC,L2,L2_3,L2_3_4,L3_4,L3_4_5,L4,L4_5,L4_5_6,L5_6,L6,LAMP5,PVALB,PV_CHC,RELN,SST,VIP,VIP_RELN
18,0.056722094798156965,0.000211387657081622,0.004279809590115944,0.05999895519021934,0.010138750415111012,0.00535910650094023,0.05868338389140195,0.1120376870961331,0.042933150730363634,0.10543558429073384,0.003899098216827496,0.10333602407664051,0.09589707085533071,0.09126618047507551,0.0611942075196522,0.061214430770055415,0.0100666443489579,0.03287361096522466,0.002184649680698016,0.01957711906190605,0.048740257127267414,0.015015377537279476,0.009665307813584871
20,0.04403941199721702,2.245963133219999e-05,0.0005393047325079614,0.07960126251284945,0.005108214684295869,0.004176579675457875,0.06073214072964012,0.13083535023412887,0.035193104423503895,0.10555537325027423,0.007344700006792066,0.11640093814264253,0.11205491562008989,0.07576339679645921,0.050119241564298096,0.05300558578733096,0.008716793163766726,0.03417340520388826,0.0011897030897589894,0.012895243496108396,0.042344581814591435,0.010381107633203863,0.010706373404008809
23,0.06140981349690543,5.205351100931758e-05,0.001214956030793694,0.04933272898563592,0.0075396444052166535,0.006321801044301038,0.0570219246454803,0.1286815265205295,0.03954466714766117,0.09465951611975555,0.004788247429231005,0.09731788850179895,0.13341331598693873,0.07327250192192385,0.05597212810412354,0.05370292409171312,0.0090622037585418,0.032991414500597255,0.001839762984599078,0.018639173252113832,0.04948875877163856,0.0125016734170235,0.013005374207551481
24,0.06356457695898274,0.0001616152778163021,0.0025685597290696625,0.054329888235907876,0.010046944405889383,0.006413480691172251,0.06415169686063522,0.1148464445357258,0.05005484422783588,0.08777826765274924,0.003629773169935766,0.10703601940469389,0.10788303373548995,0.08219268623894946,0.05286850880530736,0.05929923441037434,0.00871600468157825,0.03315839596227172,0.001844195884615927,0.018028621216883364,0.049894774612146094,0.011697231686433277,0.011144749681741091
25,0.07503859253222188,0.0007176175765061111,0.005217369721391068,0.0754098754165136,0.011303010107617034,0.01254653853665355,0.0741651467086208,0.12398209287509909,0.03781830980964728,0.1292816888622069,0.009964721063523323,0.06840175326173789,0.08835949465696795,0.05999612051948039,0.045551774570637214,0.04009669421135164,0.00928741820932171,0.04279489395294063,0.001794017265059969,0.02108044373277108,0.04348908967915736,0.011283196303907539,0.017119280956559017
27,0.06368783553478817,0.0008212351546704142,0.003219971902048554,0.050384065650374475,0.00900970620188133,0.0068086510319992355,0.05706401961167705,0.118255381906453,0.05117786986392931,0.08441467317221087,0.0040283481425269834,0.07241785894184886,0.14190783025098372,0.07094092085542969,0.06637364517413753,0.06541774381881073,0.009872034939426157,0.031148018810197492,0.001975424693400736,0.020482930279175648,0.04924570869172649,0.010636245667327337,0.013742319589915671
28,0.1027178997681973,0.0004440625710500114,0.012254901960784314,0.05711127207258614,0.02048973675661875,0.03306679601532504,0.12917297204448713,0.05684697916798044,0.06746835224421172,0.05930094394467277,0.0031588245633829446,0.0688014258633006,0.08021862830599502,0.07701940359122052,0.03627049819458406,0.06646676367816046,0.015211828738240424,0.04142575528754113,0.0020017710449210485,0.027062645743066802,0.0469580514625636,0.015141985973442393,0.0099603824994583
29,0.0574074787095515,0.0005344285339491676,0.0026406243858196426,0.05742099550261142,0.010575251397735871,0.010722368630371255,0.04999195323741358,0.12474413537212525,0.034105515551394634,0.10458829337734823,0.0039549330323253125,0.1023876419109423,0.12420467597294571,0.07065062666140158,0.05549495892476904,0.055975475864146286,0.009351203625907472,0.035054705613007255,0.0027397160363517577,0.018485808608784585,0.04760346597465732,0.011435934501140046,0.011883337606920036
30,0.050294197070114344,4.0769067692960004e-05,0.0031177325586895016,0.10952974219918622,0.008113913872621857,0.0012157418276168232,0.047969962607575564,0.10174055305547916,0.03233987342301692,0.11427502317090237,0.015326621268415977,0.10074464552326275,0.10510321735353724,0.0838406153323789,0.06067244611055339,0.04590138218956641,0.009898661012054579,0.03731813722673101,0.0013514185903414648,0.013198320136475901,0.039941263864448504,0.009448097697959913,0.011013738659833683
31,0.0575270374535298,4.164201168133932e-05,0.0020337298033117125,0.07408820548331263,0.007231812671793539,0.004289972012113038,0.06386114321122645,0.1277970289058357,0.040823621108007975,0.10785799046451967,0.012184948886615334,0.10379012604122749,0.1018616059686795,0.07647897244408025,0.04942654288340968,0.0419784883296289,0.008858690606061129,0.03591124560858875,0.001327264796996543,0.018079684671220973,0.04268222002501834,0.010894749992380876,0.012731921591132398
