region,region_name,age_t,age_p,age_p_fdr,age_estimate,age_ci_low,age_ci_high,sex_t,sex_p,sex_p_fdr,sex_estimate,sex_ci_low,sex_ci_high,intercept
96,TEm,-0.0829002431620681,0.934202301459842,0.9532970111545127,-3.91078524818173e-06,-9.55690255288257e-05,8.77474553109939e-05,2.80396168382991,0.0067606138789281,0.03640330550192054,0.0017706362995504,0.0005437038862553,0.0029975687166021,0.0415249054884486
159,TPO,-1.74270952289715,0.0864237120665947,0.1461153213702749,-6.74443519433013e-05,-0.0001427520337209,7.86333006428828e-06,3.88724078593907,0.0002526988802389,0.0030708065561901535,0.0020137759469037,0.001005711255041,0.0030218406418461,0.0406074694518934
35,G,-1.6652955515034,0.100982154850423,0.1663235491654026,-4.64172746310564e-05,-0.0001006679400372,7.83339094142858e-06,2.75932992534244,0.0076360307289906,0.038180153644952995,0.001029534895306,0.0003033383239185,0.0017557314689197,0.0426826580243043
78,TGdd,-1.09366958026157,0.278400151237596,0.3747694343583023,-6.20903668372559e-05,-0.0001724805702396,4.82998369542517e-05,2.44626887394752,0.0173329522850082,0.0636207360361993,0.0018590514417489,0.0003813739492171,0.0033367289390869,0.0413011994795864
86,EC,-2.01904244857523,0.0478837548985526,0.09858420126172594,-9.46299939398011e-05,-0.0001858615605408,-3.39842705906822e-06,0.412202616173496,0.681635951719264,0.7284659026007402,0.0002586087595902,-0.0009626122221608,0.0014798297450852,0.0435275841444999
29,10o,-5.39017773707011,1.20198833092858e-06,9.14610751610117e-06,-0.0002207916677843,-0.0003006615927133,-0.0001409217426095,0.56733145916429,0.572571062372331,0.6540734225423317,0.0003110753405038,-0.0007580592997103,0.0013802099839883,0.0419093975899583
76,46v,-3.15866899881926,0.0024654069063464,0.007670154819744355,-0.0001041809839678,-0.0001682511960185,-4.01107717129493e-05,-0.371708235613495,0.711398178682719,0.7545132198150051,-0.0001641102266288,-0.0010217507361792,0.0006935302855103,0.0481943817965773
37,9d,-0.294201635412532,0.76960264115968,0.8417528887684,-1.82227504823848e-05,-0.0001385436508292,0.000102098150231,0.816080898515978,0.417629310706087,0.5128781008671244,0.0006766298974252,-0.0009339793853185,0.0022872391850749,0.0400823576189204
146,F4,-6.75482198785452,6.10330100678199e-09,1.0680776761868483e-07,-0.0003044538873678,-0.0003920086633512,-0.0002168991111167,1.37371902635145,0.17455642125349,0.28089539052285745,0.0008288093721285,-0.0003431942826044,0.0020008130304398,0.0410407719245466
38,7op,-1.83621626656962,0.071199988795232,0.1285410568325992,-6.36161621756303e-05,-0.0001310489272531,3.81660311960213e-06,1.55600850936457,0.124879503193829,0.21584111663130937,0.0007216136299348,-0.0001810378386108,0.001624265101395,0.0441433994592621
137,3a/b,0.139695769674931,0.88936058241563,0.9291826980461806,4.8904050172261e-06,-6.3114004401618e-05,7.28948146406571e-05,1.34665924528559,0.183072255897514,0.28797882950170745,0.000631056748336,-0.0002792467214432,0.0015413602208928,0.0453329606572494
95,MT,3.06664076487521,0.00322489315675,0.009405938373854167,0.0001303715850785,4.77049886537085e-05,0.0002130381816565,2.81884507606914,0.0064899011989247,0.03640330550192054,0.0016041330023007,0.000497562263628,0.0027107037430232,0.0367761801285885
123,V3A,6.6238154284066,1.02253583061836e-08,1.431550162865704e-07,0.0001614403306028,0.000114042809705,0.0002088378516561,0.835152677728778,0.406890892675745,0.506746101159739,0.0002724700795651,-0.0003619906576537,0.0009069308188658,0.0412719271299187
89,MIP,4.0816621234011,0.0001320964696815,0.0006604823484074999,0.0001048290661692,5.49188442160802e-05,0.0001547392883186,0.84692095707668,0.400349694283181,0.5049455603571653,0.0002911633249264,-0.000376932297294,0.0009592589497756,0.0408951904024374
134,5_(PEa),2.07084051172245,0.0426123270635173,0.0890406834163048,5.74592215645762e-05,3.38609260132904e-06,0.0001115323506937,1.93575309132368,0.0575361646090746,0.12992037169791038,0.0007189723220139,-4.84775582801674e-06,0.0014427924020773,0.0424038132062237
61,F1_(4),-6.68101052750203,8.163984095607311e-09,1.2699530815389153e-07,-0.0002311692154964,-0.0002985602838496,-0.0001637781469548,1.71417171639704,0.0915746344954097,0.16869011617575472,0.0007939465993869,-0.0001081467189867,0.0016960399203128,0.0437160197818202
71,F3,-4.37854649873828,4.76822876899727e-05,0.00025675077986908373,-0.0001095841430275,-0.0001584210598423,-6.07472260621439e-05,2.33329366824426,0.0229458863783213,0.07300963847647686,0.0007816930971418,0.0001279646814163,0.0014354215148845,0.0352476341514752
82,7m_(PGm),-2.32794694980544,0.0232477502427553,0.05424475056642904,-9.34018648946965e-05,-0.0001717383211171,-1.50654084306619e-05,0.0294801807662829,0.97657786630262,0.9836036063479625,1.5832946175133e-05,-0.0010327747620886,0.0010644406576734,0.0433116088354426
185,24b',-1.83344993350406,0.0716157316638767,0.1285410568325992,-5.7740367910706e-05,-0.0001193396477367,3.85891210740711e-06,0.886499277007161,0.378830241161401,0.48214757965996496,0.0003737128251079,-0.0004508519147847,0.0011982775675706,0.0311142688175857
34,V1,3.88626909278951,0.0002534984798682,0.001117699670770375,0.0001599433072715,7.99831359897581e-05,0.0002399034791521,3.60858662583072,0.0006223226825343,0.004585535555515895,0.0019880141137481,0.0009176714356907,0.0030583567950496,0.035524960778858
75,V4v,-4.27369532566871,6.85912788538764e-05,0.00035565848294602574,-0.0001403326347804,-0.0002044186719656,-7.62465973948426e-05,1.03158835526821,0.306337845856984,0.40707156239769415,0.000453430445464,-0.0004044218985603,0.0013112827920214,0.0458105613964468
