region,L4,OPC,ASC,PV_CHC,RELN,L4/OPC,L4/PV_CHC,L4/RELN,L4/ASC,OPC/PV_CHC,OPC/RELN,OPC/ASC,PV_CHC/RELN,PV_CHC/ASC,RELN/ASC,L4/OPC/PV_CHC,L4/OPC/RELN,L4/PV_CHC/RELN,OPC/PV_CHC/RELN,L4/OPC/ASC,L4/OPC/PV_CHC/RELN,L4/OPC/PV_CHC/RELN/ASC
30,1.02196881461074,1.12402000537919,1.12012262879376,1.13767085682524,1.2264725101479,0.982108725394682,0.827419354329161,1.05178011441874,0.650269290988379,1.32330188088938,1.16687863607916,1.09214541401072,1.20270266835149,1.22355043635167,1.1323874582947,1.07644923688512,1.02332513088612,0.868017115998691,1.45091845259826,0.67906543654025,1.21790981268029,0.593141985866555
31,0.511334917544647,0.722655374321425,0.746572065615669,0.844652079779368,0.82022828653114,0.525908492712305,0.524465611611525,0.636076469323408,0.471470044888083,0.822130032513081,0.829756029096981,0.750318269874737,1.07428341943872,0.807979632285778,0.931196521377489,0.419137932865583,0.643984483827863,0.79050854490946,1.08724124872545,0.42413934977912,0.733536254464244,0.869239164194212
32,-0.225132887585533,-0.166799847085537,-0.0799499227774311,0.0173059218095173,-0.203275379767304,-0.245723019496141,-0.118920423377006,-0.322848480039965,-0.13681219333465,0.142731660203604,-0.230961077069282,-0.105317462639618,-0.106207021861775,-0.034475491226648,-0.153405000295364,0.064129711878232,-0.335466034434771,-0.311861959557683,0.0311235238363521,-0.0632257732748821,-0.126329595626805,0.0860773494628177
34,3.95628731833551,4.16618894201968,4.0895479372527,4.1435596923797,4.17318786452549,3.97436951616505,3.81898449376155,3.97520897257641,3.61801255319883,4.08287404689777,4.19067750313992,4.10792652451499,4.20192840359127,4.21526927789191,4.09958673393169,3.65192531456106,3.98753000178778,3.85196541392079,4.1363200406152,3.49885931419562,3.64322883608041,2.47219213925587
35,-0.446523158927693,-0.504508524053177,-0.459035852974053,-1.13976216305042,-0.208590489979827,-0.53462425890442,-1.44629539961758,-0.254775003706661,-0.811476636272642,-0.86767215168865,-0.334451846304754,-0.523192768322543,-0.903815135005723,-1.10190942578959,-0.282305201596976,-1.05287394636925,-0.319991572246676,-1.17188852925586,-0.515377526707003,-0.65223527192404,-0.55693855993637,-0.212740268092281
37,-0.930503091538751,-1.17276585251947,-1.2981271978313,-1.02636976314164,-1.3424802769582,-0.888683360036934,-0.41463822823278,-1.02142070917398,-0.822300208287323,-1.20765428103221,-1.2737033332968,-1.25095982443107,-1.19032944489784,-0.937769865907538,-1.46251362434571,-0.591974224477194,-0.990468256335161,-0.54247385101895,-1.45081832644998,-0.911540929805724,-0.82266606709145,-1.21330313778348
38,0.0147289935784046,0.0338864120056391,0.0658273407286363,0.151807247395409,-0.0154117792984864,0.00819252307978899,0.120161950143217,-0.0637482040775566,0.0562402156597337,0.201532747748086,-0.0228462272987352,0.0572313266911324,0.0455336686304268,0.136000565805974,-0.00934028367999385,0.197659962620803,-0.0668796717377226,-0.031671970142326,0.0896868188190412,0.0824254869999197,0.0249468165871856,-0.0105817580515424
39,1.80379708914512,1.94022612531569,1.92313898803372,2.17631323909007,1.90176405907759,1.834068659687,2.07407130591803,1.80149515650751,1.80868480351038,2.09758155175415,1.93925576985145,1.94360209755583,2.21155060713186,2.17203947510319,1.94432147987808,1.92164255420918,1.82273656491759,2.10888629967431,2.1182954391555,1.72876164490227,1.91769042252888,1.65393643647215
41,-0.338565747094441,-0.300525956575414,-0.291690717121958,0.25391658729169,-0.404681816715851,-0.325153373690342,0.340798177632814,-0.446026070520565,-0.261619990811748,0.290765523968932,-0.384225446526123,-0.284281576579429,0.14202757872258,0.277103705787391,-0.396901989646606,0.421889966626704,-0.434657303498948,0.200728783585158,0.168811244660341,-0.281392008101721,0.266265265983624,0.103753996604782
43,0.269483123114552,0.114659245238852,0.0638816425213879,-0.465402786401608,0.0989959072701665,0.261528546534205,-0.322914907415157,0.254062591724512,0.209424599619538,-0.541534086301412,0.0935853238794313,0.0670266947833176,-0.559967360625362,-0.452204825273108,-0.000927054482594476,-0.421798267061341,0.248777694080578,-0.430888695435822,-0.67400420460253,0.218130751364681,-0.598882583889426,-0.851126506618689
44,0.213555949797797,0.241121971304195,0.231705440519991,0.0346459086823921,0.249822109708182,0.211373678048452,-0.0662542847739308,0.216074444058061,0.141650630003367,0.0127782996865355,0.245797147099335,0.230964834144899,0.0247751503116944,0.0303936700452663,0.230193153562612,-0.124678575964145,0.214500621079808,-0.0963559475896238,-0.00481919269154798,0.132429859128451,-0.184753041612308,-0.427125428431549
45,-1.50029277954864,-1.45933702084581,-1.57811725969744,-1.47535900248058,-1.32773164033325,-1.48940406119743,-1.52580517226494,-1.31750003665987,-1.85413657264611,-1.52181262852077,-1.31928571885648,-1.55688864374848,-1.19445972262633,-1.34224566481855,-1.42313906268665,-1.61675250091838,-1.31324554821473,-1.14782458385538,-1.20331864584447,-1.95743710727195,-1.15323186786835,-1.83703587484362
46,-0.28022718843821,-0.479451196892055,-0.499827759431691,-0.587750523353319,-0.581431051817765,-0.259804889497929,-0.175330006903737,-0.337528653841725,-0.0148475879822454,-0.713750329315314,-0.544763471866256,-0.480559436251636,-0.714221928314832,-0.61960989823237,-0.579309696944297,-0.3011610159638,-0.322175310083495,-0.283394612002562,-0.897494530953442,-0.0138952275533839,-0.487513389070104,-0.0632949625010534
47,-1.03694009545666,-1.2145785325524,-1.24501337685999,-1.16944541498171,-1.22241887200709,-1.05361688579174,-0.885484717107671,-1.05811019603231,-1.06555449849133,-1.10709614705486,-1.23899269378609,-1.24988794123144,-1.2221929633322,-1.10141917371536,-1.31325152262688,-0.720907113276949,-1.06939914090826,-0.913449992641922,-1.15267513008164,-1.02695611861924,-0.701824906814018,-0.66178703357718
49,-1.79784568736554,-1.84795982116447,-2.07095468146174,-2.18368774889276,-1.63821822951813,-1.74246390130521,-1.99133622347009,-1.40960789818307,-2.10899565140478,-2.48513233290383,-1.57094627050937,-2.00560714706947,-1.63367098832523,-2.03700434592953,-1.71455909245509,-2.46245967129108,-1.37798491604339,-1.20267820526802,-1.91865237135457,-2.322398549786,-1.59139415117521,-2.01131162813578
50,-0.113936620423449,-0.197303512836322,-0.249815836111981,-0.224016233804351,-0.230096065058142,-0.109631841036321,-0.060979775565813,-0.134545080571738,-0.171977387859582,-0.255244904361361,-0.220734640195973,-0.239253103335308,-0.269839291542132,-0.170501255506189,-0.306559169789106,-0.0792996052237235,-0.131151832932201,-0.0979218658771365,-0.317893094432359,-0.195657251187831,-0.134407932979805,-0.435241595133549
51,-0.880362597591414,-0.768870152471629,-0.837675385399997,-0.610366143002143,-0.637411479798832,-0.848695906379839,-0.68749114378217,-0.6630607513898,-1.00924124843504,-0.711235879543607,-0.603501151092059,-0.809574333916568,-0.252935841010471,-0.559696909551292,-0.594697807633568,-0.875142697634682,-0.644892415417174,-0.206987686190938,-0.317011113164464,-1.12098635931262,-0.30899444689028,-0.348540403081782
52,0.706288396440716,0.403928392242839,0.251805975005505,0.820181334277394,0.37255436863362,0.740673720049184,1.58277705558583,0.781633825823766,0.741016362254043,0.710438416592332,0.428193286656213,0.298110373029337,0.927038593505833,0.983337997541714,0.252273957610581,1.56061255924913,0.804323220798936,1.8562709411654,0.806879838263322,0.656312232382938,1.91545093799363,2.04795524297046
53,1.11219206052728,1.42329238367385,1.4550221289624,2.16480869029336,1.38833307883029,1.14206068716576,1.83939378278617,1.08946832913314,1.09680548592533,2.18798376226329,1.42001736134306,1.46664046912247,2.23649574455786,2.15857809500879,1.49469572420841,1.8116997049758,1.11080207495826,1.88805175911831,2.279473091716,1.01369617076685,1.86902826398556,1.54351194460416
