region,OLG,L4_5,L5_6,L4_5_6,VIP_RELN,OLG/L4_5,OLG/L5_6,OLG/L4_5_6,OLG/VIP_RELN,L4_5/L5_6,L4_5/VIP_RELN,L5_6/VIP_RELN,L4_5_6/VIP_RELN,VIP_RELN/L5_6,OLG/L4_5/L5_6,OLG/L4_5/VIP_RELN,OLG/L5_6/VIP_RELN,OLG/L4_5_6/VIP_RELN,L4_5/L5_6/VIP_RELN,OLG/L4_5/L5_6/VIP_RELN,OLG/L4_5/L5_6/L4_5_6,OLG/L4_5/L5_6/L4_5_6/VIP_RELN
34,1.97511936868575,0.826998168717154,-0.0909641422803037,0.822977505321743,0.508574157161477,1.92153349566364,2.07448017367239,1.98057895517917,2.20836491022886,0.541992880477615,1.09044867312307,0.0666381588319557,1.27553059901947,0.0666381588319557,2.03307548046004,2.12642909421019,2.25083162053746,2.32214441786625,0.790193428193201,2.17362656224884,2.04724132719518,2.38034044769475
35,0.874607129447563,1.37972696086198,1.21650499780591,1.47508980898238,1.10912266828978,0.204941702711966,0.701394992927663,1.06002795841598,0.769440315169462,1.6106166800774,1.33361973639878,1.14777821383817,1.46237296550182,1.14777821383817,0.00918485769999088,0.196052530402928,0.630983784718564,1.08083211901666,1.56072580736167,0.00791462350171219,0.043156101696599,0.0500213218610401
37,0.739416731862827,0.478951848727004,0.148870989580368,0.374613640651514,0.0486538372250871,0.727859307350521,0.397307435591119,0.689912030848466,0.363216100057155,0.225998109232149,0.119755283900411,-0.106098398238947,-0.235874504523039,-0.106098398238947,0.386693353453796,0.411379868116298,0.130154856637685,0.105728179176621,-0.0813503339879643,0.180566128755414,0.206084694617415,-0.318508362736409
38,-0.150400556841738,-0.209410644886196,0.02641372994921,-0.496430262183866,-0.000344494668008538,-0.0131065439957815,0.39906327735761,-0.320089881720387,0.0334086078890531,0.0153184394148002,-0.0432109052438211,0.138648183420728,-0.365786456399538,0.138648183420728,0.546532426273943,0.126008090460201,0.519336592586423,-0.212882688218949,0.152644330243047,0.628581999317514,0.170361007444007,0.252513034878324
39,0.33387408070545,0.268665072393823,0.256561153326208,0.199471939429008,0.495282092677006,0.380510536516929,0.357885166864644,0.290486454831134,0.606822548387955,0.245026002317009,0.530837434268982,0.447570408252207,0.586453493109953,0.447570408252207,0.408869640804709,0.606106008978926,0.560792695789505,0.642269775681569,0.479549965911461,0.562353961974447,0.318585163658178,0.646670493454891
41,0.787910006673665,0.702236625256297,0.557374264726101,0.576203225757135,0.80329716659953,0.850250496209326,0.433786101816304,0.71384224433105,0.910941859167201,0.471374393691002,0.816194195390171,0.654409363780003,0.702631641475375,0.654409363780003,0.500207799880726,0.947410834185656,0.537621569115719,0.822916500118915,0.5840310239161,0.575741953603394,0.302818080040621,0.421213274655497
43,0.658186324882921,0.502599117381615,0.0432620184023968,0.511333896917128,0.349210991459067,0.520089675946807,-0.0477173910325248,0.690322002196485,0.650249416031334,0.131751239224129,0.513264456023283,0.0589557620734516,0.543374998536272,0.0589557620734516,-0.194239302474252,0.530176963448349,-0.0314430440871138,0.709221574690908,0.158689870105031,-0.170406253240526,-0.254019174145537,-0.216971232725934
44,0.195040610743274,0.46889454682388,0.57298315314967,0.869851009169604,0.36888934494976,0.143179890074076,-0.0143763659982301,0.404965002754598,-0.0243141064014197,0.452406444585628,0.252127342949639,0.425522309521541,0.701728808723199,0.425522309521541,-0.0691709812836139,-0.0361330901876752,-0.170591514442002,0.283871833582818,0.260945248667546,-0.186058089976657,0.531653650821236,0.435343796497865
45,-0.209303612281402,-0.205187109124019,-0.307289419118127,-0.202731391537704,-0.434785154087102,-0.492685729831809,0.0954890833275737,-0.151430998588447,-0.289599406420021,0.0318950374046429,-0.252040293985727,-0.373398223989324,-0.265537779604188,-0.373398223989324,-0.197385400119989,-0.527078023051033,0.0265597326268746,-0.213518227780873,-0.0207918693562172,-0.228325740740232,-0.225696846504452,-0.30553057399022
46,0.329536735860014,0.137791227816414,-0.246889490950161,0.208405088246997,-0.0277297022006601,0.390989399555874,-0.518670783310962,0.351472219242278,0.184484800741992,-0.366682599690278,-0.00528750741227707,-0.322927074342347,0.0153360035228884,-0.322927074342347,-0.461404568298942,0.261159921559135,-0.601107323554601,0.164033398648492,-0.470808093760816,-0.529863904348701,-0.407441156492049,-0.550659534671458
47,-0.251437349725453,-0.528630951925725,-0.917616184594925,-0.640839510048047,-0.626133150712447,-0.341155172328993,-0.590548195584931,-0.290570140031092,-0.168713411976809,-0.750156425368847,-0.429288938846547,-0.849205223166606,-0.523863241352525,-0.849205223166606,-0.689057710870389,-0.260655052853686,-0.520257839936158,-0.208244339698411,-0.652358794997789,-0.627216921433835,-0.917090491860581,-0.842446820919099
49,-2.69358918167384,-2.36997504546813,-2.06450820100569,-2.41418859322933,-2.90832393450426,-3.33974869445005,-1.16826198790294,-2.58759245221493,-3.05835924518038,-1.29204987609711,-2.65855544470433,-2.36706826950038,-2.88313607377222,-2.36706826950038,-1.84230441247359,-3.5732155149987,-1.49078084464352,-3.01592242660139,-1.60046405801342,-2.04099570416748,-1.95586797746785,-2.45061427101774
50,0.520614657574804,0.14404835944831,-0.336705992605462,0.153730879728489,0.0226440091092987,0.619497714567051,-0.260469583393549,0.504263596844668,0.494953404080151,-0.391671196623731,0.118375531112266,-0.331267436096035,0.123544455054165,-0.331267436096035,-0.162301111485475,0.586349658440298,-0.255628445676868,0.452975176944677,-0.389965803871243,-0.166161670965106,-0.188946210470713,-0.205948427513009
51,0.0101801115848629,-0.202547271142989,-0.789081924542024,-0.175186092853954,-0.301225776402761,-0.220196378633148,-0.763280574013783,0.0688533752881338,0.15858931311202,-0.589559731470202,-0.0262511437844985,-0.661015412349641,0.132245286082591,-0.661015412349641,-1.01080988327848,-0.0672520772144118,-0.631046909521946,0.335661154264835,-0.415423368593494,-0.88958739850524,-1.07911746476715,-0.823025663149907
